x,y,id,area_m
-10.5,-42.5,2,9130708992
-9.5,-42.5,2,9130708992
-8.5,-42.5,2,9130708992
-7.5,-42.5,2,9130708992
-6.5,-42.5,2,9130708992
-5.5,-42.5,2,9130708992
-4.5,-42.5,2,9130708992
-3.5,-42.5,2,9130708992
-2.5,-42.5,2,9130708992
-1.5,-42.5,2,9130708992
-0.5,-42.5,2,9130708992
0.5,-42.5,2,9130708992
1.5,-42.5,2,9130708992
2.5,-42.5,2,9130708992
3.5,-42.5,2,9130708992
4.5,-42.5,2,9130708992
5.5,-42.5,2,9130708992
6.5,-42.5,2,9130708992
7.5,-42.5,2,9130708992
8.5,-42.5,2,9130708992
9.5,-42.5,2,9130708992
10.5,-42.5,2,9130708992
11.5,-42.5,2,9130708992
12.5,-42.5,2,9130708992
13.5,-42.5,2,9130708992
14.5,-42.5,2,9130708992
15.5,-42.5,2,9130708992
16.5,-42.5,2,9130708992
17.5,-42.5,2,9130708992
18.5,-42.5,2,9130708992
19.5,-42.5,2,9130708992
20.5,-42.5,2,9130708992
21.5,-42.5,2,9130708992
22.5,-42.5,2,9130708992
23.5,-42.5,2,9130708992
24.5,-42.5,2,9130708992
25.5,-42.5,2,9130708992
26.5,-42.5,2,9130708992
27.5,-42.5,2,9130708992
28.5,-42.5,2,9130708992
29.5,-42.5,2,9130708992
30.5,-42.5,5,9130708992
31.5,-42.5,5,9130708992
32.5,-42.5,5,9130708992
33.5,-42.5,5,9130708992
34.5,-42.5,5,9130708992
35.5,-42.5,5,9130708992
36.5,-42.5,5,9130708992
37.5,-42.5,5,9130708992
38.5,-42.5,5,9130708992
39.5,-42.5,5,9130708992
40.5,-42.5,5,9130708992
41.5,-42.5,5,9130708992
42.5,-42.5,5,9130708992
43.5,-42.5,5,9130708992
44.5,-42.5,5,9130708992
45.5,-42.5,5,9130708992
46.5,-42.5,5,9130708992
47.5,-42.5,5,9130708992
69.5,-42.5,5,9130708992
70.5,-42.5,5,9130708992
71.5,-42.5,5,9130708992
72.5,-42.5,5,9130708992
73.5,-42.5,5,9130708992
74.5,-42.5,5,9130708992
75.5,-42.5,5,9130708992
76.5,-42.5,5,9130708992
77.5,-42.5,5,9130708992
78.5,-42.5,5,9130708992
79.5,-42.5,5,9130708992
80.5,-42.5,5,9130708992
81.5,-42.5,5,9130708992
82.5,-42.5,5,9130708992
83.5,-42.5,5,9130708992
84.5,-42.5,5,9130708992
85.5,-42.5,5,9130708992
86.5,-42.5,5,9130708992
87.5,-42.5,5,9130708992
88.5,-42.5,5,9130708992
89.5,-42.5,5,9130708992
90.5,-42.5,5,9130708992
91.5,-42.5,5,9130708992
92.5,-42.5,5,9130708992
93.5,-42.5,5,9130708992
94.5,-42.5,5,9130708992
95.5,-42.5,5,9130708992
96.5,-42.5,5,9130708992
97.5,-42.5,5,9130708992
98.5,-42.5,5,9130708992
99.5,-42.5,5,9130708992
100.5,-42.5,5,9130708992
101.5,-42.5,5,9130708992
102.5,-42.5,5,9130708992
103.5,-42.5,5,9130708992
104.5,-42.5,5,9130708992
105.5,-42.5,5,9130708992
106.5,-42.5,5,9130708992
107.5,-42.5,5,9130708992
108.5,-42.5,5,9130708992
109.5,-42.5,5,9130708992
110.5,-42.5,5,9130708992
111.5,-42.5,5,9130708992
112.5,-42.5,5,9130708992
113.5,-42.5,5,9130708992
114.5,-42.5,5,9130708992
115.5,-42.5,8,9130708992
116.5,-42.5,8,9130708992
117.5,-42.5,8,9130708992
118.5,-42.5,8,9130708992
119.5,-42.5,8,9130708992
120.5,-42.5,8,9130708992
121.5,-42.5,8,9130708992
122.5,-42.5,8,9130708992
123.5,-42.5,8,9130708992
124.5,-42.5,8,9130708992
125.5,-42.5,8,9130708992
